inspection_score,inspection_type,violation_id,violation_description,risk_category
79,Routine - Unscheduled,76992_20180206_103145,Improper storage of equipment utensils or linens,Low Risk
64,Routine - Unscheduled,34388_20160615_103114,High risk vermin infestation,High Risk
90,Routine - Unscheduled,86385_20160314_103132,Improper thawing methods,Moderate Risk
76,Routine - Unscheduled,5227_20170228_103139,Improper food storage,Low Risk
89,Routine - Unscheduled,2047_20170725_103161,Low risk vermin infestation,Low Risk
83,Routine - Unscheduled,78028_20170721_103139,Improper food storage,Low Risk
92,Routine - Unscheduled,60628_20170420_103129,Insufficient hot water or running water,Moderate Risk
70,Routine - Unscheduled,32887_20170706_103131,Moderate risk vermin infestation,Moderate Risk
72,Routine - Unscheduled,3529_20170424_103114,High risk vermin infestation,High Risk
88,Routine - Unscheduled,76374_20170831_103118,Employee eating or smoking,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
76,Routine - Unscheduled,3167_20170828_103154,Unclean or degraded floors walls or ceilings,Low Risk
85,Routine - Unscheduled,88326_20170207_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
88,Routine - Unscheduled,85856_20160204_103131,Moderate risk vermin infestation,Moderate Risk
94,Routine - Unscheduled,78545_20170307_103154,Unclean or degraded floors walls or ceilings,Low Risk
98,Routine - Unscheduled,81890_20181107_103142,Unclean nonfood contact surfaces,Low Risk
83,Routine - Unscheduled,1296_20170926_103154,Unclean or degraded floors walls or ceilings,Low Risk
89,Routine - Unscheduled,78781_20170123_103103,High risk food holding temperature,High Risk
72,Routine - Unscheduled,78215_20170717_103114,High risk vermin infestation,High Risk
90,Routine - Unscheduled,66584_20170517_103120,Moderate risk food holding temperature,Moderate Risk
92,Routine - Unscheduled,37986_20160517_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,71534_20170216_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
98,Routine - Unscheduled,39937_20170913_103145,Improper storage of equipment utensils or linens,Low Risk
87,Routine - Unscheduled,65026_20180509_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94,Routine - Unscheduled,83746_20170315_103131,Moderate risk vermin infestation,Moderate Risk
90,Routine - Unscheduled,4868_20170706_103139,Improper food storage,Low Risk
90,Routine - Unscheduled,125_20170719_103161,Low risk vermin infestation,Low Risk
96,Routine - Unscheduled,74983_20170217_103154,Unclean or degraded floors walls or ceilings,Low Risk
83,Routine - Unscheduled,85026_20170629_103120,Moderate risk food holding temperature,Moderate Risk
96,Routine - Unscheduled,83148_20170712_103142,Unclean nonfood contact surfaces,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
88,Routine - Unscheduled,1734_20180509_103120,Moderate risk food holding temperature,Moderate Risk
73,Routine - Unscheduled,2842_20170616_103109,Unclean or unsanitary food contact surfaces,High Risk
83,Routine - Unscheduled,69253_20170725_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
92,Routine - Unscheduled,75888_20170106_103139,Improper food storage,Low Risk
86,Routine - Unscheduled,80669_20170816_103157,Food safety certificate or food handler card not available,Low Risk
79,Routine - Unscheduled,3031_20170807_103161,Low risk vermin infestation,Low Risk
87,Routine - Unscheduled,73955_20170831_103144,Unapproved or unmaintained equipment or utensils,Low Risk
76,Routine - Unscheduled,68454_20180625_103114,High risk vermin infestation,High Risk
89,Routine - Unscheduled,75429_20180502_103103,High risk food holding temperature,High Risk
67,Routine - Unscheduled,2357_20170602_103120,Moderate risk food holding temperature,Moderate Risk
92,Routine - Unscheduled,39608_20171023_103133,Foods not protected from contamination,Moderate Risk
94,Routine - Unscheduled,26341_20170210_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
86,Routine - Unscheduled,2063_20170214_103147,Inadequate ventilation or lighting,Low Risk
94,Routine - Unscheduled,69291_20170822_103148,No thermometers or uncalibrated thermometers,Low Risk
88,Routine - Unscheduled,5908_20170314_103145,Improper storage of equipment utensils or linens,Low Risk
85,Routine - Unscheduled,90449_20170714_103154,Unclean or degraded floors walls or ceilings,Low Risk
85,Routine - Unscheduled,85164_20170920_103144,Unapproved or unmaintained equipment or utensils,Low Risk
63,Routine - Unscheduled,82869_20170801_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
81,Routine - Unscheduled,79390_20170110_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
72,Routine - Unscheduled,89059_20170227_103103,High risk food holding temperature,High Risk
87,Routine - Unscheduled,81167_20170419_103105,Improper cooling methods,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
94,Routine - Unscheduled,85109_20170331_103161,Low risk vermin infestation,Low Risk
68,Routine - Unscheduled,66361_20170320_103103,High risk food holding temperature,High Risk
84,Routine - Unscheduled,67262_20170706_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,39053_20180504_103156,Permit license or inspection report not posted,Low Risk
66,Routine - Unscheduled,2104_20170130_103154,Unclean or degraded floors walls or ceilings,Low Risk
78,Routine - Unscheduled,60518_20170824_103154,Unclean or degraded floors walls or ceilings,Low Risk
72,Routine - Unscheduled,89059_20170227_103118,Employee eating or smoking,Moderate Risk
67,Routine - Unscheduled,82878_20170726_103139,Improper food storage,Low Risk
94,Routine - Unscheduled,79564_20170828_103133,Foods not protected from contamination,Moderate Risk
77,Routine - Unscheduled,59577_20170427_103131,Moderate risk vermin infestation,Moderate Risk
83,Routine - Unscheduled,91176_20170926_103131,Moderate risk vermin infestation,Moderate Risk
79,Routine - Unscheduled,3482_20170407_103142,Unclean nonfood contact surfaces,Low Risk
98,Routine - Unscheduled,74524_20170110_103145,Improper storage of equipment utensils or linens,Low Risk
90,Routine - Unscheduled,36277_20181106_103157,Food safety certificate or food handler card not available,Low Risk
85,Routine - Unscheduled,2619_20180206_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
82,Routine - Unscheduled,36744_20170215_103102,Unclean hands or improper use of gloves,High Risk
90,Routine - Unscheduled,33999_20170109_103148,No thermometers or uncalibrated thermometers,Low Risk
91,Routine - Unscheduled,5818_20170324_103107,Improper reheating of food,High Risk
73,Routine - Unscheduled,38072_20170803_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
80,Routine - Unscheduled,81602_20170622_103102,Unclean hands or improper use of gloves,High Risk
92,Routine - Unscheduled,84615_20170807_103133,Foods not protected from contamination,Moderate Risk
90,Routine - Unscheduled,69863_20170911_103133,Foods not protected from contamination,Moderate Risk
72,Routine - Unscheduled,68320_20170120_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
74,Routine - Unscheduled,85739_20170724_103105,Improper cooling methods,High Risk
92,Routine - Unscheduled,56_20170420_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
88,Routine - Unscheduled,80236_20170809_103161,Low risk vermin infestation,Low Risk
90,Routine - Unscheduled,39693_20170718_103132,Improper thawing methods,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
85,Routine - Unscheduled,3621_20170919_103131,Moderate risk vermin infestation,Moderate Risk
96,Routine - Unscheduled,88470_20161208_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
87,Routine - Unscheduled,78019_20170721_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
79,Routine - Unscheduled,2785_20170330_103154,Unclean or degraded floors walls or ceilings,Low Risk
94,Routine - Unscheduled,88100_20170626_103145,Improper storage of equipment utensils or linens,Low Risk
84,Routine - Unscheduled,76747_20170227_103154,Unclean or degraded floors walls or ceilings,Low Risk
85,Routine - Unscheduled,13218_20170829_103131,Moderate risk vermin infestation,Moderate Risk
94,Routine - Unscheduled,57774_20170126_103132,Improper thawing methods,Moderate Risk
83,Routine - Unscheduled,2739_20181107_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
88,Routine - Unscheduled,4849_20170225_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
93,Routine - Unscheduled,7764_20170215_103109,Unclean or unsanitary food contact surfaces,High Risk
80,Routine - Unscheduled,62771_20170809_103131,Moderate risk vermin infestation,Moderate Risk
48,Routine - Unscheduled,86647_20160907_103112,No hot water or running water,High Risk
89,Routine - Unscheduled,86073_20170302_103133,Foods not protected from contamination,Moderate Risk
78,Routine - Unscheduled,606_20170720_103161,Low risk vermin infestation,Low Risk
94,Routine - Unscheduled,60473_20170629_103161,Low risk vermin infestation,Low Risk
98,Routine - Unscheduled,90896_20170831_103145,Improper storage of equipment utensils or linens,Low Risk
77,Routine - Unscheduled,85714_20170823_103138,Improper storage use or identification of toxic substances,Low Risk
96,Routine - Unscheduled,2447_20170322_103120,Moderate risk food holding temperature,Moderate Risk
67,Routine - Unscheduled,3561_20170123_103109,Unclean or unsanitary food contact surfaces,High Risk
87,Routine - Unscheduled,68500_20160730_103139,Improper food storage,Low Risk
96,Routine - Unscheduled,2279_20170425_103154,Unclean or degraded floors walls or ceilings,Low Risk
88,Routine - Unscheduled,87714_20170130_103125,Noncompliance with shell fish tags or display,Moderate Risk
96,Routine - Unscheduled,85525_20170615_103127,Noncompliance with HAACP plan or variance,Moderate Risk
92,Routine - Unscheduled,19043_20170912_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
96,Routine - Unscheduled,90060_20170612_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
82,Routine - Unscheduled,88756_20170601_103133,Foods not protected from contamination,Moderate Risk
90,Routine - Unscheduled,2724_20170726_103154,Unclean or degraded floors walls or ceilings,Low Risk
71,Routine - Unscheduled,3456_20180208_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
94,Routine - Unscheduled,88910_20170320_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
67,Routine - Unscheduled,61579_20170630_103138,Improper storage use or identification of toxic substances,Low Risk
82,Routine - Unscheduled,2862_20170118_103154,Unclean or degraded floors walls or ceilings,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
85,Routine - Unscheduled,2996_20180425_103154,Unclean or degraded floors walls or ceilings,Low Risk
87,Routine - Unscheduled,60828_20170815_103114,High risk vermin infestation,High Risk
94,Routine - Unscheduled,22304_20170313_103141,Improper food labeling or menu misrepresentation,Low Risk
96,Routine - Unscheduled,69576_20170516_103139,Improper food storage,Low Risk
67,Routine - Unscheduled,82878_20170726_103156,Permit license or inspection report not posted,Low Risk
89,Routine - Unscheduled,27790_20170607_103114,High risk vermin infestation,High Risk
92,Routine - Unscheduled,75850_20170824_103145,Improper storage of equipment utensils or linens,Low Risk
92,Routine - Unscheduled,84517_20170407_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
74,Routine - Unscheduled,74508_20170721_103131,Moderate risk vermin infestation,Moderate Risk
78,Routine - Unscheduled,5219_20170803_103105,Improper cooling methods,High Risk
74,Routine - Unscheduled,38564_20170123_103162,Other low risk violation,Low Risk
86,Routine - Unscheduled,83589_20180205_103157,Food safety certificate or food handler card not available,Low Risk
94,Routine - Unscheduled,74245_20170118_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
71,Routine - Unscheduled,68403_20170524_103103,High risk food holding temperature,High Risk
94,Routine - Unscheduled,59002_20170814_103142,Unclean nonfood contact surfaces,Low Risk
74,Routine - Unscheduled,544_20170822_103102,Unclean hands or improper use of gloves,High Risk
94,Routine - Unscheduled,85696_20170130_103131,Moderate risk vermin infestation,Moderate Risk
92,Routine - Unscheduled,75406_20170727_103145,Improper storage of equipment utensils or linens,Low Risk
72,Routine - Unscheduled,89059_20170227_103132,Improper thawing methods,Moderate Risk
94,Routine - Unscheduled,66896_20170622_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,33145_20170914_103142,Unclean nonfood contact surfaces,Low Risk
85,Routine - Unscheduled,69324_20170403_103105,Improper cooling methods,High Risk
84,Routine - Unscheduled,27799_20170407_103109,Unclean or unsanitary food contact surfaces,High Risk
69,Routine - Unscheduled,1992_20170705_103120,Moderate risk food holding temperature,Moderate Risk
84,Routine - Unscheduled,89072_20170221_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
90,Routine - Unscheduled,33125_20170925_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
83,Routine - Unscheduled,70184_20180313_103154,Unclean or degraded floors walls or ceilings,Low Risk
90,Routine - Unscheduled,90588_20170413_103144,Unapproved or unmaintained equipment or utensils,Low Risk
85,Routine - Unscheduled,82563_20170630_103139,Improper food storage,Low Risk
85,Routine - Unscheduled,83046_20170126_103114,High risk vermin infestation,High Risk
83,Routine - Unscheduled,37115_20170922_103105,Improper cooling methods,High Risk
96,Routine - Unscheduled,33084_20170815_103154,Unclean or degraded floors walls or ceilings,Low Risk
74,Routine - Unscheduled,68768_20170809_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
81,Routine - Unscheduled,2358_20170711_103148,No thermometers or uncalibrated thermometers,Low Risk
86,Routine - Unscheduled,25153_20170308_103154,Unclean or degraded floors walls or ceilings,Low Risk
77,Routine - Unscheduled,68130_20170110_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
87,Routine - Unscheduled,85779_20160309_103139,Improper food storage,Low Risk
90,Routine - Unscheduled,88428_20170623_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
96,Routine - Unscheduled,66400_20170224_103157,Food safety certificate or food handler card not available,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
90,Routine - Unscheduled,92828_20180420_103145,Improper storage of equipment utensils or linens,Low Risk
85,Routine - Unscheduled,70306_20160906_103109,Unclean or unsanitary food contact surfaces,High Risk
74,Routine - Unscheduled,9652_20170118_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
90,Routine - Unscheduled,35852_20170801_103142,Unclean nonfood contact surfaces,Low Risk
94,Routine - Unscheduled,76465_20170530_103134,Other moderate risk violation,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,2758_20180206_103144,Unapproved or unmaintained equipment or utensils,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
80,Routine - Unscheduled,79667_20170815_103105,Improper cooling methods,High Risk
84,Routine - Unscheduled,67237_20170914_103105,Improper cooling methods,High Risk
70,Routine - Unscheduled,32671_20170110_103154,Unclean or degraded floors walls or ceilings,Low Risk
96,Routine - Unscheduled,88983_20170303_103120,Moderate risk food holding temperature,Moderate Risk
68,Routine - Unscheduled,3550_20170807_103139,Improper food storage,Low Risk
82,Routine - Unscheduled,37633_20170328_103131,Moderate risk vermin infestation,Moderate Risk
70,Routine - Unscheduled,78019_20170227_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
76,Routine - Unscheduled,80253_20170110_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
72,Routine - Unscheduled,2326_20160304_103154,Unclean or degraded floors walls or ceilings,Low Risk
90,Routine - Unscheduled,65529_20170227_103156,Permit license or inspection report not posted,Low Risk
94,Routine - Unscheduled,74722_20170531_103154,Unclean or degraded floors walls or ceilings,Low Risk
77,Routine - Unscheduled,61579_20180207_103131,Moderate risk vermin infestation,Moderate Risk
85,Routine - Unscheduled,3211_20170912_103154,Unclean or degraded floors walls or ceilings,Low Risk
92,Routine - Unscheduled,60475_20170331_103120,Moderate risk food holding temperature,Moderate Risk
87,Routine - Unscheduled,90581_20170906_103103,High risk food holding temperature,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
70,Routine - Unscheduled,3676_20170706_103105,Improper cooling methods,High Risk
86,Routine - Unscheduled,73963_20170504_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
98,Routine - Unscheduled,5838_20170323_103145,Improper storage of equipment utensils or linens,Low Risk
94,Routine - Unscheduled,71803_20170120_103157,Food safety certificate or food handler card not available,Low Risk
96,Routine - Unscheduled,81161_20170525_103145,Improper storage of equipment utensils or linens,Low Risk
90,Routine - Unscheduled,121_20170418_103150,Improper or defective plumbing,Low Risk
87,Routine - Unscheduled,3189_20170228_103154,Unclean or degraded floors walls or ceilings,Low Risk
92,Routine - Unscheduled,86406_20170505_103129,Insufficient hot water or running water,Moderate Risk
81,Routine - Unscheduled,1366_20180206_103142,Unclean nonfood contact surfaces,Low Risk
90,Routine - Unscheduled,71067_20170221_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
78,Routine - Unscheduled,606_20170720_103154,Unclean or degraded floors walls or ceilings,Low Risk
92,Routine - Unscheduled,36378_20170131_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
62,Routine - Unscheduled,2359_20170706_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,3056_20170217_103133,Foods not protected from contamination,Moderate Risk
73,Routine - Unscheduled,84590_20160824_103148,No thermometers or uncalibrated thermometers,Low Risk
98,Routine - Unscheduled,66687_20170130_103154,Unclean or degraded floors walls or ceilings,Low Risk
90,Routine - Unscheduled,85183_20171214_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
90,Routine - Unscheduled,82232_20160428_103139,Improper food storage,Low Risk
85,Routine - Unscheduled,67828_20170327_103131,Moderate risk vermin infestation,Moderate Risk
94,Routine - Unscheduled,4512_20170905_103142,Unclean nonfood contact surfaces,Low Risk
94,Routine - Unscheduled,2841_20170818_103144,Unapproved or unmaintained equipment or utensils,Low Risk
92,Routine - Unscheduled,59520_20170126_103138,Improper storage use or identification of toxic substances,Low Risk
70,Routine - Unscheduled,58_20170918_103129,Insufficient hot water or running water,Moderate Risk
92,Routine - Unscheduled,7635_20170125_103145,Improper storage of equipment utensils or linens,Low Risk
82,Routine - Unscheduled,74131_20170920_103157,Food safety certificate or food handler card not available,Low Risk
82,Routine - Unscheduled,2926_20170316_103154,Unclean or degraded floors walls or ceilings,Low Risk
88,Routine - Unscheduled,952_20170913_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
81,Routine - Unscheduled,77713_20170802_103144,Unapproved or unmaintained equipment or utensils,Low Risk
67,Routine - Unscheduled,82878_20170726_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
98,Routine - Unscheduled,72002_20171010_103145,Improper storage of equipment utensils or linens,Low Risk
88,Routine - Unscheduled,4421_20170921_103118,Employee eating or smoking,Moderate Risk
67,Routine - Unscheduled,67564_20170804_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
79,Routine - Unscheduled,2035_20170425_103120,Moderate risk food holding temperature,Moderate Risk
83,Routine - Unscheduled,40217_20170324_103120,Moderate risk food holding temperature,Moderate Risk
89,Routine - Unscheduled,83360_20170727_103102,Unclean hands or improper use of gloves,High Risk
85,Routine - Unscheduled,84582_20170919_103103,High risk food holding temperature,High Risk
94,Routine - Unscheduled,65392_20180508_103145,Improper storage of equipment utensils or linens,Low Risk
80,Routine - Unscheduled,33468_20170724_103109,Unclean or unsanitary food contact surfaces,High Risk
89,Routine - Unscheduled,84668_20170113_103144,Unapproved or unmaintained equipment or utensils,Low Risk
79,Routine - Unscheduled,82041_20170608_103154,Unclean or degraded floors walls or ceilings,Low Risk
71,Routine - Unscheduled,91465_20170718_103144,Unapproved or unmaintained equipment or utensils,Low Risk
73,Routine - Unscheduled,61436_20170912_103114,High risk vermin infestation,High Risk
76,Routine - Unscheduled,5227_20170228_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
94,Routine - Unscheduled,19403_20170905_103131,Moderate risk vermin infestation,Moderate Risk
76,Routine - Unscheduled,91984_20180206_103109,Unclean or unsanitary food contact surfaces,High Risk
88,Routine - Unscheduled,80235_20170526_103157,Food safety certificate or food handler card not available,Low Risk
86,Routine - Unscheduled,1571_20170214_103131,Moderate risk vermin infestation,Moderate Risk
96,Routine - Unscheduled,88461_20170315_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
96,Routine - Unscheduled,3972_20170616_103120,Moderate risk food holding temperature,Moderate Risk
86,Routine - Unscheduled,85781_20180205_103161,Low risk vermin infestation,Low Risk
77,Routine - Unscheduled,74084_20170615_103103,High risk food holding temperature,High Risk
90,Routine - Unscheduled,2002_20170510_103129,Insufficient hot water or running water,Moderate Risk
73,Routine - Unscheduled,79961_20180206_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
96,Routine - Unscheduled,2507_20180509_103120,Moderate risk food holding temperature,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
94,Routine - Unscheduled,80302_20180508_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
90,Routine - Unscheduled,2973_20170815_103131,Moderate risk vermin infestation,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
89,Routine - Unscheduled,88555_20170714_103103,High risk food holding temperature,High Risk
90,Routine - Unscheduled,4859_20170308_103139,Improper food storage,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
80,Routine - Unscheduled,89396_20180830_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
77,Routine - Unscheduled,85714_20170823_103147,Inadequate ventilation or lighting,Low Risk
85,Routine - Unscheduled,79632_20170303_103145,Improper storage of equipment utensils or linens,Low Risk
73,Routine - Unscheduled,2842_20170616_103133,Foods not protected from contamination,Moderate Risk
92,Routine - Unscheduled,61467_20170302_103157,Food safety certificate or food handler card not available,Low Risk
78,Routine - Unscheduled,61161_20170420_103120,Moderate risk food holding temperature,Moderate Risk
92,Routine - Unscheduled,93244_20180827_103139,Improper food storage,Low Risk
90,Routine - Unscheduled,89830_20180206_103120,Moderate risk food holding temperature,Moderate Risk
92,Routine - Unscheduled,5634_20170919_103154,Unclean or degraded floors walls or ceilings,Low Risk
65,Routine - Unscheduled,19076_20170626_103154,Unclean or degraded floors walls or ceilings,Low Risk
81,Routine - Unscheduled,60484_20181101_103144,Unapproved or unmaintained equipment or utensils,Low Risk
75,Routine - Unscheduled,7216_20180501_103141,Improper food labeling or menu misrepresentation,Low Risk
94,Routine - Unscheduled,78545_20170307_103139,Improper food storage,Low Risk
60,Routine - Unscheduled,61861_20170130_103102,Unclean hands or improper use of gloves,High Risk
88,Routine - Unscheduled,82416_20170518_103161,Low risk vermin infestation,Low Risk
78,Routine - Unscheduled,91843_20170914_103133,Foods not protected from contamination,Moderate Risk
90,Routine - Unscheduled,37755_20170110_103157,Food safety certificate or food handler card not available,Low Risk
78,Routine - Unscheduled,38611_20170105_103112,No hot water or running water,High Risk
86,Routine - Unscheduled,615_20170608_103131,Moderate risk vermin infestation,Moderate Risk
79,Routine - Unscheduled,90192_20170315_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
85,Routine - Unscheduled,3459_20170905_103103,High risk food holding temperature,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
87,Routine - Unscheduled,3825_20170717_103154,Unclean or degraded floors walls or ceilings,Low Risk
86,Routine - Unscheduled,1571_20170214_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,69188_20181105_103145,Improper storage of equipment utensils or linens,Low Risk
88,Routine - Unscheduled,91453_20170606_103154,Unclean or degraded floors walls or ceilings,Low Risk
92,Routine - Unscheduled,80079_20170906_103144,Unapproved or unmaintained equipment or utensils,Low Risk
78,Routine - Unscheduled,88883_20180628_103114,High risk vermin infestation,High Risk
77,Routine - Unscheduled,81884_20180629_103109,Unclean or unsanitary food contact surfaces,High Risk
78,Routine - Unscheduled,89130_20170623_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
86,Routine - Unscheduled,86180_20170823_103144,Unapproved or unmaintained equipment or utensils,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,71532_20180202_103145,Improper storage of equipment utensils or linens,Low Risk
66,Routine - Unscheduled,81674_20170228_103105,Improper cooling methods,High Risk
90,Routine - Unscheduled,37732_20170830_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
86,Routine - Unscheduled,4987_20170630_103139,Improper food storage,Low Risk
96,Routine - Unscheduled,70416_20180222_103144,Unapproved or unmaintained equipment or utensils,Low Risk
79,Routine - Unscheduled,87765_20170313_103154,Unclean or degraded floors walls or ceilings,Low Risk
94,Routine - Unscheduled,80120_20170601_103144,Unapproved or unmaintained equipment or utensils,Low Risk
79,Routine - Unscheduled,79052_20170223_103108,Contaminated or adulterated food,High Risk
74,Routine - Unscheduled,4739_20170421_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
88,Routine - Unscheduled,3443_20170921_103132,Improper thawing methods,Moderate Risk
68,Routine - Unscheduled,68160_20170510_103109,Unclean or unsanitary food contact surfaces,High Risk
75,Routine - Unscheduled,6965_20170809_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
82,Routine - Unscheduled,65014_20181102_103131,Moderate risk vermin infestation,Moderate Risk
90,Routine - Unscheduled,826_20170724_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
71,Routine - Unscheduled,91465_20170718_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
81,Routine - Unscheduled,82655_20170201_103139,Improper food storage,Low Risk
92,Routine - Unscheduled,69492_20170901_103144,Unapproved or unmaintained equipment or utensils,Low Risk
81,Routine - Unscheduled,283_20170209_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,1742_20180423_103131,Moderate risk vermin infestation,Moderate Risk
78,Routine - Unscheduled,91843_20170914_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
78,Routine - Unscheduled,37390_20180427_103129,Insufficient hot water or running water,Moderate Risk
90,Routine - Unscheduled,85924_20170620_103157,Food safety certificate or food handler card not available,Low Risk
87,Routine - Unscheduled,87482_20170202_103103,High risk food holding temperature,High Risk
94,Routine - Unscheduled,61550_20170626_103120,Moderate risk food holding temperature,Moderate Risk
94,Routine - Unscheduled,66185_20170626_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,5866_20170207_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
92,Routine - Unscheduled,7755_20170816_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94,Routine - Unscheduled,82933_20170424_103139,Improper food storage,Low Risk
92,Routine - Unscheduled,78934_20170331_103133,Foods not protected from contamination,Moderate Risk
80,Routine - Unscheduled,68764_20170410_103150,Improper or defective plumbing,Low Risk
96,Routine - Unscheduled,37717_20170508_103145,Improper storage of equipment utensils or linens,Low Risk
80,Routine - Unscheduled,81103_20170703_103142,Unclean nonfood contact surfaces,Low Risk
78,Routine - Unscheduled,3445_20170925_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
85,Routine - Unscheduled,77442_20170831_103142,Unclean nonfood contact surfaces,Low Risk
85,Routine - Unscheduled,90939_20180430_103139,Improper food storage,Low Risk
86,Routine - Unscheduled,86283_20170719_103156,Permit license or inspection report not posted,Low Risk
86,Routine - Unscheduled,67154_20170110_103154,Unclean or degraded floors walls or ceilings,Low Risk
98,Routine - Unscheduled,5267_20170725_103150,Improper or defective plumbing,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
86,Routine - Unscheduled,77973_20170829_103144,Unapproved or unmaintained equipment or utensils,Low Risk
79,Routine - Unscheduled,79052_20170223_103144,Unapproved or unmaintained equipment or utensils,Low Risk
84,Routine - Unscheduled,82231_20170706_103150,Improper or defective plumbing,Low Risk
70,Routine - Unscheduled,2357_20171120_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
